date;lat;lng;Пассажиры
15.03.2011 11:00;37.52774416;55.69833896;964
15.03.2011 11:00;37.46079908;55.72217013;954
15.03.2011 11:00;37.55621279;55.56318233;940
15.03.2011 11:00;37.55454013;55.55830336;940
15.03.2011 11:00;37.5563822;55.79185679;940
15.03.2011 11:00;37.56187906;55.86199134;934
15.03.2011 11:00;37.56228975;55.85803424;934
15.03.2011 11:00;37.5614081;55.84479132;930
15.03.2011 11:00;37.45988728;55.80907141;904
15.03.2011 11:00;37.5793455;55.76148605;898
15.03.2011 11:00;37.55834414;55.56619768;890
15.03.2011 11:00;37.45864133;55.72593747;886
15.03.2011 11:00;37.45366978;55.83228072;874
15.03.2011 11:00;37.58643391;55.54998269;866
15.03.2011 11:00;37.46209434;55.80974637;864
15.03.2011 11:00;37.50756895;55.75141618;864
15.03.2011 11:00;37.47197767;55.80096294;858
15.03.2011 11:00;37.59207492;55.71523922;852
15.03.2011 11:00;37.59382288;55.71651283;852
15.03.2011 11:00;37.60109825;55.72144743;852
15.03.2011 11:00;37.60473508;55.72392298;852
15.03.2011 11:00;37.5898774;55.713588;852
15.03.2011 11:00;37.59569519;55.71783081;852
15.03.2011 11:00;37.59864188;55.72046218;852
15.03.2011 11:00;37.4237054;55.71700915;850
15.03.2011 11:00;37.58555709;55.5461562;836
15.03.2011 11:00;37.58212644;55.70841146;834
15.03.2011 11:00;37.52777014;55.67582172;834
15.03.2011 11:00;37.53359091;55.67975436;834
15.03.2011 11:00;37.53723859;55.68226835;834
15.03.2011 11:00;37.52948806;55.67758177;834
15.03.2011 11:00;37.46026812;55.70008531;832
15.03.2011 11:00;37.4586439;55.70242147;832
15.03.2011 11:00;37.45621452;55.70526395;832
15.03.2011 11:00;37.57161042;55.54195976;832
15.03.2011 11:00;37.45058691;55.723975;818
15.03.2011 11:00;37.4827638;55.79919839;810
15.03.2011 11:00;37.47947718;55.80088509;810
15.03.2011 11:00;37.45469922;55.84409428;810
15.03.2011 11:00;37.45462957;55.84032487;810
15.03.2011 11:00;37.45394048;55.83706872;810
15.03.2011 11:00;37.454276;55.8372445;810
15.03.2011 11:00;37.45467381;55.84418383;810
15.03.2011 11:00;37.45388761;55.8368256;810
15.03.2011 11:00;37.42414488;55.71894152;810
15.03.2011 11:00;37.65059866;55.77660639;810
15.03.2011 11:00;37.430704;55.71314557;810
15.03.2011 11:00;37.47705233;55.80269894;806
15.03.2011 11:00;37.47396521;55.72867903;796
15.03.2011 11:00;37.57859073;55.57702745;792
15.03.2011 11:00;37.55703835;55.68078388;790
15.03.2011 11:00;37.5576699;55.69482028;790
15.03.2011 11:00;37.56229105;55.69743412;790
15.03.2011 11:00;37.56656197;55.69987845;790
15.03.2011 11:00;37.57069373;55.70219398;790
15.03.2011 11:00;37.57261293;55.70382708;790
15.03.2011 11:00;37.57844464;55.7064623;790
15.03.2011 11:00;37.53875021;55.87318553;782
15.03.2011 11:00;37.54381828;55.8735049;782
15.03.2011 11:00;37.55030453;55.8736821;782
15.03.2011 11:00;37.5548337;55.87121831;782
15.03.2011 11:00;37.55764434;55.86757146;782
15.03.2011 11:00;37.55083509;55.87377882;782
15.03.2011 11:00;37.53369182;55.87582526;782
15.03.2011 11:00;37.58128056;55.53330061;758
15.03.2011 11:00;37.58011787;55.52942862;758
15.03.2011 11:00;37.59231624;55.56862568;756
15.03.2011 11:00;37.49371535;55.74707818;746
15.03.2011 11:00;37.48972922;55.74589925;746
15.03.2011 11:00;37.4843417;55.74436112;746
15.03.2011 11:00;37.48138746;55.74331254;746
15.03.2011 11:00;37.45358893;55.84731299;738
15.03.2011 11:00;37.5479433;55.68664899;734
15.03.2011 11:00;37.46719949;55.73343635;732
15.03.2011 11:00;37.48895928;55.79574041;730
15.03.2011 11:00;37.57604697;55.51208227;728
15.03.2011 11:00;37.59351372;55.56889155;720
15.03.2011 11:00;37.53383478;55.60634257;712
15.03.2011 11:00;37.5696187;55.84185094;704
15.03.2011 11:00;37.51422018;55.74665456;700
15.03.2011 11:00;37.51361443;55.74625745;700
15.03.2011 11:00;37.4657895;55.80786969;696
15.03.2011 11:00;37.43572299;55.86286123;680
15.03.2011 11:00;37.41915435;55.72614902;672
15.03.2011 11:00;37.577521;55.77337902;668
15.03.2011 11:00;37.63291352;55.79249962;664
15.03.2011 11:00;37.43574738;55.71203011;660
15.03.2011 11:00;37.49245887;55.79387527;650
15.03.2011 11:00;37.49797839;55.74331404;646
15.03.2011 11:00;37.54899193;55.66471362;636
15.03.2011 11:00;37.45966822;55.80506551;632
15.03.2011 11:00;37.45654551;55.80244178;632
15.03.2011 11:00;37.45849381;55.79981981;632
15.03.2011 11:00;37.46493738;55.7979896;632
15.03.2011 11:00;37.48345919;55.7391453;630
15.03.2011 11:00;37.45457496;55.84541506;624
15.03.2011 11:00;37.61748415;55.76797734;622
15.03.2011 11:00;37.56964536;55.57727498;618
15.03.2011 11:00;37.58380926;55.56261933;604
15.03.2011 11:00;37.57880385;55.56468879;604
15.03.2011 11:00;37.42314118;55.71282447;592
15.03.2011 11:00;37.7985555;55.62865447;586
15.03.2011 11:00;37.80175534;55.63114041;586
15.03.2011 11:00;37.80398405;55.6332351;586
15.03.2011 11:00;37.79601113;55.63492345;586
15.03.2011 11:00;37.79331087;55.63937553;586
15.03.2011 11:00;37.79358377;55.63684446;586
15.03.2011 11:00;37.798509;55.62923872;586
15.03.2011 11:00;37.5367036;55.59739862;584
15.03.2011 11:00;37.64589993;55.77919131;582
15.03.2011 11:00;37.48648531;55.73582244;582
15.03.2011 11:00;37.48750433;55.73524772;582
15.03.2011 11:00;37.55694004;55.54107702;582
15.03.2011 11:00;37.5517687;55.54205837;582
15.03.2011 11:00;37.56069242;55.56708137;572
15.03.2011 11:00;37.44634612;55.82817234;568
15.03.2011 11:00;37.45068698;55.82662593;568
15.03.2011 11:00;37.6016228;55.74536157;568
15.03.2011 11:00;37.51331576;55.70684734;554
15.03.2011 11:00;37.50102938;55.72009801;554
15.03.2011 11:00;37.43645574;55.86487675;546
15.03.2011 11:00;37.5892612;55.59565599;546
15.03.2011 11:00;37.84551009;55.65628708;546
15.03.2011 11:00;37.84896594;55.65537344;546
15.03.2011 11:00;37.64007984;55.7327546;544
15.03.2011 11:00;37.57408489;55.53818094;536
15.03.2011 11:00;37.57690587;55.53628763;536
15.03.2011 11:00;37.52244618;55.87895333;534
15.03.2011 11:00;37.51601724;55.70546762;520
15.03.2011 11:00;37.51640111;55.70512248;520
15.03.2011 11:00;37.51633752;55.70521231;520
15.03.2011 11:00;37.42249602;55.71385724;520
15.03.2011 11:00;37.45754898;55.73157625;518
15.03.2011 11:00;37.57666247;55.76075161;516
15.03.2011 11:00;37.51831925;55.52649804;506
15.03.2011 11:00;37.75884866;55.66057334;506
15.03.2011 11:00;37.6006695;55.79240274;504
15.03.2011 11:00;37.63372763;55.79597177;504
15.03.2011 11:00;37.52927455;55.70198212;502
15.03.2011 11:00;37.52177089;55.70198218;502
15.03.2011 11:00;37.55054173;55.6720547;496
15.03.2011 11:00;37.45300492;55.8288645;496
15.03.2011 11:00;37.44724876;55.832584;496
15.03.2011 11:00;37.44694205;55.83109074;496
15.03.2011 11:00;37.45197836;55.83493027;496
15.03.2011 11:00;37.45358579;55.83181612;496
15.03.2011 11:00;37.46049502;55.73082468;494
