DATE; LAT ; LGT ;ПЛАТНЫЕ;ФЕДЕРАЛЬНАЯ ЛЬГОТА;РЕГИОНАЛЬНАЯ ЛЬГОТА;ДРУГИЕ ВИДЫ ЛЬГОТ;
12:00;37.71997;55.66064;3402;375;686;520;17511
12:00;37.18452;55.66178;5336;359;1050;317;24879
12:00;38.03143;55.66461;6821;1;2;5;11248
12:00;37.21169;55.66488;5556;734;1031;418;26384
12:00;37.42595;55.66684;12866;1709;1867;858;17077
12:00;37.24744;55.66685;16761;227;559;1277;56320
12:00;37.92322;55.66802;36753;1232;2503;3721;101970
12:00;37.99846;55.6686;9044;477;953;742;23067
12:00;37.93105;55.67181;4188;64;126;347;9991
12:00;37.28391;55.67362;100491;2402;11455;9090;449219
12:00;37.89652;55.68135;213281;8230;7554;16820;579500
12:00;37.31532;55.68238;14905;467;1378;669;46385
12:00;37.62153;55.68297;97419;1390;5568;7744;194929
12:00;37.7348;55.68488;3234;251;569;1961;24600
12:00;37.33762;55.69655;12140;292;471;154;26008
12:00;37.86472;55.69882;32375;922;1791;2582;104221
12:00;36.88016;55.70013;4486;1168;1715;961;12362
12:00;37.62355;55.70478;1969;201;634;264;4990
12:00;37.48098;55.70533;26252;4960;9095;1475;38305
12:00;37.8498;55.706;34250;3632;1863;3804;72983
12:00;37.7308;55.70739;44463;2076;3405;4006;167812
12:00;37.37323;55.71489;12699;147;343;97;29475
12:00;38.37802;55.72015;2477;7;44;6;7559
12:00;38.34995;55.72055;2769;598;1275;520;11524
12:00;37.79782;55.72222;4794;168;457;430;37139
12:00;37.39818;55.7237;32559;1361;3090;1876;126085
12:00;37.45001;55.72664;36800;1332;6357;4703;105176
12:00;37.41666;55.7279;14922;1135;2556;1220;50884
12:00;38.20375;55.73005;15366;149;363;421;54240
12:00;37.77405;55.73065;7515;668;1229;918;18885
12:00;37.70267;55.73244;3010;530;1120;255;15184
12:00;38.46438;55.73261;37900;4035;6134;4351;132090
12:00;37.73968;55.73276;8626;164;479;438;23947
12:00;37.76415;55.73313;23814;1066;2008;2278;70328
12:00;37.76403;55.73509;18626;850;1589;2091;105876
12:00;37.79458;55.73915;1579;12;21;157;4369
12:00;37.81833;55.74401;84305;2087;5423;6818;221818
12:00;38.15132;55.74503;5024;51;202;90;18273
12:00;37.73828;55.74511;2769;277;220;874;11799
12:00;38.85317;55.74758;5885;412;1020;795;10636
12:00;37.72052;55.7511;46907;1375;4345;4794;206739
12:00;37.9548;55.75112;22720;527;1092;664;63347
12:00;38.00844;55.75164;263485;21540;29813;33633;542672
12:00;37.85962;55.75291;128788;4165;6810;4227;273373
12:00;38.11807;55.75301;17981;2742;5138;2579;56557
12:00;38.57267;55.75544;3138;6;28;91;6987
12:00;37.89624;55.76016;17326;5083;2324;1511;33720
